vnf-2,,,,,,,,vnf-2,,,,,,
,Proposed,GD,SK-1,SK-10,BC,RA,,,Proposed,GD,SK-1,SK-10,BC,RA
100,0,1.4,0.4,0.8,0.5,2,,100,1,0.986,0.996,0.992,0.995,0.98
200,0.2,4.9,6.2,10.8,10.1,15.3,,200,0.999,0.9755,0.969,0.946,0.9495,0.9235
300,0.6,20,20.5,37.8,32.9,59.7,,300,0.998,0.933333333,0.931666667,0.874,0.890333333,0.801
400,0.7,33.9,30.9,60.2,64.7,94.9,,400,0.99825,0.91525,0.92275,0.8495,0.83825,0.76275
500,0.7,78.4,47.9,79.3,80.4,122.3,,500,0.9986,0.8432,0.9042,0.8414,0.8392,0.7554
vnf-3,,,,,,,,vnf-3,,,,,,
,Proposed,GD,SK-1,SK-10,BC,RA,,,Proposed,GD,SK-1,SK-10,BC,RA
100,0,1.4,0.2,0.3,4,1.8,,100,1,0.986,0.998,0.997,0.96,0.982
200,0,10.7,15.5,19.5,33.4,41,,200,1,0.9465,0.9225,0.9025,0.833,0.795
300,0,35.7,44.3,44,60.7,82,,300,1,0.881,0.852333333,0.853333333,0.797666667,0.726666667
400,0.4,91.1,86.3,87.4,154.5,142.4,,400,0.999,0.77225,0.78425,0.7815,0.61375,0.644
500,46.8,175.6,144.7,154.2,182.7,208.4,,500,0.9064,0.6488,0.7106,0.6916,0.6346,0.5832
vnf-4,,,,,,,,vnf-4,,,,,,
,Proposed,GD,SK-1,SK-10,BC,RA,,,Proposed,GD,SK-1,SK-10,BC,RA
100,0,4.3,2.1,2.1,5.4,8.4,,100,1,0.957,0.979,0.979,0.946,0.916
200,0,23.9,30.3,36.2,36.3,47.9,,200,1,0.8805,0.8485,0.819,0.8185,0.7605
300,0.6,71.8,81.7,96.7,90,99.5,,300,0.998,0.760666667,0.727666667,0.677666667,0.7,0.668333333
400,59.5,156,153.4,171.8,164.4,193.6,,400,0.85125,0.61,0.6165,0.5705,0.589,0.516
500,164.3,257.2,233.8,258.4,261.7,284.3,,500,0.6714,0.4856,0.5324,0.4832,0.4766,0.4314
vnf-5,,,,,,,,vnf-5,,,,,,
,Proposed,GD,SK-1,SK-10,BC,RA,,,Proposed,GD,SK-1,SK-10,BC,RA
100,0,6.8,5.7,7.7,2.3,5.7,,100,1,0.932,0.943,0.923,0.977,0.943
200,0.3,39.3,47.5,66.6,56.8,63.1,,200,0.9985,0.8035,0.7625,0.667,0.716,0.6845
300,30.1,121,108.1,141.6,107.9,130.8,,300,0.899666667,0.596666667,0.639666667,0.528,0.640333333,0.564
400,134.1,215,192.6,228.5,215.3,226.8,,400,0.66475,0.4625,0.5185,0.42875,0.46175,0.433
500,231.5,314.4,280.6,323.3,292.3,305.5,,500,0.537,0.3712,0.4388,0.3534,0.4154,0.389
