vnf-2,,,,,,
,Proposed,GD,SK-1,SK-10,BC,RA
100,1,1,0.997,0.998,1,0.993
200,1,0.994,0.9855,0.979,0.9875,0.971
300,1,0.987666667,0.947,0.934,0.938333333,0.944
400,1,0.97775,0.9545,0.95475,0.93525,0.932
500,1,0.9756,0.9434,0.9438,0.948,0.8858
vnf-3,,,,,,
,Proposed,GD,SK-1,SK-10,BC,RA
100,1,1,1,0.998,0.997,0.997
200,1,0.9855,0.97,0.971,0.951,0.9465
300,1,0.982666667,0.912333333,0.925666667,0.877,0.899
400,1,0.9785,0.847,0.8675,0.876,0.80625
500,0.9018,0.853,0.7584,0.7702,0.811,0.6894
vnf-4,,,,,,
,Proposed,GD,SK-1,SK-10,BC,RA
100,1,1,0.995,0.997,0.995,0.992
200,1,0.9895,0.9225,0.8995,0.911,0.896
300,1,0.97,0.797333333,0.793333333,0.859666667,0.775333333
400,0.8525,0.7965,0.70825,0.66475,0.76625,0.63925
500,0.6784,0.6376,0.6106,0.5676,0.6464,0.5406
vnf-5,,,,,,
,Proposed,GD,SK-1,SK-10,BC,RA
100,1,0.997,0.993,0.978,0.977,0.994
200,1,0.99,0.8595,0.8355,0.939,0.8645
300,0.902333333,0.844,0.7,0.674,0.731,0.647333333
400,0.6765,0.63375,0.587,0.5545,0.58975,0.524
500,0.5384,0.508,0.4976,0.4816,0.4942,0.4398
